DEBUG 2024-06-21 16:44:21,422 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/wsgiref/headers.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,422 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/rest_framework/templatetags/__init__.py first seen with mtime 1718910847.1337368
DEBUG 2024-06-21 16:44:21,423 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/email/mime/message.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,423 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/importlib/__init__.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,423 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/utils/crypto.py first seen with mtime 1718910845.280503
DEBUG 2024-06-21 16:44:21,423 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/core/checks/compatibility/django_4_0.py first seen with mtime 1718910845.149755
DEBUG 2024-06-21 16:44:21,423 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/utils/http.py first seen with mtime 1718910845.2854626
DEBUG 2024-06-21 16:44:21,423 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/db/models/functions/datetime.py first seen with mtime 1718910845.217801
DEBUG 2024-06-21 16:44:21,423 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/db/migrations/exceptions.py first seen with mtime 1718910845.197816
DEBUG 2024-06-21 16:44:21,423 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/format_helpers.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,423 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,423 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/datetime.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,423 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/warnings.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,424 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/views/generic/__init__.py first seen with mtime 1718910845.2986953
DEBUG 2024-06-21 16:44:21,424 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/contrib/admin/views/autocomplete.py first seen with mtime 1718910844.1691375
DEBUG 2024-06-21 16:44:21,424 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/utils/_os.py first seen with mtime 1718910845.2781813
DEBUG 2024-06-21 16:44:21,424 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/constants.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,424 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/zipfile/__init__.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,424 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/core/serializers/__init__.py first seen with mtime 1718910845.1729
DEBUG 2024-06-21 16:44:21,424 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/core/validators.py first seen with mtime 1718910845.1418986
DEBUG 2024-06-21 16:44:21,424 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/db/backends/base/base.py first seen with mtime 1718910845.1787202
DEBUG 2024-06-21 16:44:21,424 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/contrib/postgres/utils.py first seen with mtime 1718910844.8066947
DEBUG 2024-06-21 16:44:21,424 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/db/backends/base/__init__.py first seen with mtime 1718910845.178339
DEBUG 2024-06-21 16:44:21,425 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/test/client.py first seen with mtime 1718910845.272792
DEBUG 2024-06-21 16:44:21,425 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/contrib/auth/decorators.py first seen with mtime 1718910844.2584677
DEBUG 2024-06-21 16:44:21,425 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/views/decorators/debug.py first seen with mtime 1718910845.2971268
DEBUG 2024-06-21 16:44:21,425 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/asgiref/local.py first seen with mtime 1718910843.6692703
DEBUG 2024-06-21 16:44:21,425 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/forms/fields.py first seen with mtime 1718910845.2243958
DEBUG 2024-06-21 16:44:21,425 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/core/files/storage/filesystem.py first seen with mtime 1718910845.1550817
DEBUG 2024-06-21 16:44:21,426 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/utils/itercompat.py first seen with mtime 1718910845.2864127
DEBUG 2024-06-21 16:44:21,426 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/db/models/indexes.py first seen with mtime 1718910845.2080793
DEBUG 2024-06-21 16:44:21,426 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/db/backends/base/features.py first seen with mtime 1718910845.1797664
DEBUG 2024-06-21 16:44:21,426 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/_queue.cpython-313-darwin.so first seen with mtime 1717606950.0
DEBUG 2024-06-21 16:44:21,426 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/db/backends/postgresql/__init__.py first seen with mtime 1718910845.1903782
DEBUG 2024-06-21 16:44:21,426 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/unittest/loader.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,426 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/db/backends/base/client.py first seen with mtime 1718910845.179051
DEBUG 2024-06-21 16:44:21,426 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/utils/decorators.py first seen with mtime 1718910845.2823753
DEBUG 2024-06-21 16:44:21,426 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/zoneinfo/__init__.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,426 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/core/cache/backends/locmem.py first seen with mtime 1718910845.144902
DEBUG 2024-06-21 16:44:21,426 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/contrib/messages/storage/base.py first seen with mtime 1718910844.7977757
DEBUG 2024-06-21 16:44:21,427 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/core/handlers/wsgi.py first seen with mtime 1718910845.1577358
DEBUG 2024-06-21 16:44:21,427 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/forms/boundfield.py first seen with mtime 1718910845.2239392
DEBUG 2024-06-21 16:44:21,427 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/weakref.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,427 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/gettext.py first seen with mtime 1717606354.0
